time(s),joint1,joint2,joint3,joint4,joint5,joint6,joint7,wheel_joint_left,wheel_joint_right
3.686,-1.70536e-07,-5.95198e-06,-3.09626e-06,-1.15075e-05,1.73999e-06,-1.24203e-08,0.0481709,7.25408e-07,1.15169e-06
3.706,-1.56443e-07,-6.20175e-06,-3.34055e-06,-1.07053e-05,1.68876e-06,-1.17521e-08,4.88344e-09,7.30379e-07,1.15877e-06
3.726,-1.52656e-07,8.84827e-06,-3.31636e-06,-1.08545e-05,1.67538e-06,-1.18484e-08,4.84646e-09,7.35629e-07,1.16575e-06
3.746,-1.69737e-07,-6.00391e-06,-3.09351e-06,-1.14094e-05,1.72288e-06,-1.23481e-08,5.07498e-09,7.40873e-07,1.17282e-06
3.766,-1.7421e-07,-6.554e-06,-3.08985e-06,-1.08863e-05,1.76401e-06,-1.18597e-08,5.09222e-09,7.4617e-07,1.18003e-06
3.786,-1.70317e-07,-5.95481e-06,-3.09395e-06,-1.14787e-05,1.73683e-06,-1.2413e-08,5.10374e-09,7.51377e-07,1.18698e-06
3.806,-1.56437e-07,-6.20159e-06,-3.3412e-06,-1.07027e-05,1.68868e-06,-1.17503e-08,4.89603e-09,7.56345e-07,1.19406e-06
3.826,-1.52656e-07,8.84826e-06,-3.31638e-06,-1.08544e-05,1.67539e-06,-1.18484e-08,4.84655e-09,7.61595e-07,1.20104e-06
3.846,-1.77145e-07,7.88387e-06,-3.27746e-06,-1.22177e-05,1.86693e-06,-1.32268e-08,5.30035e-09,7.66891e-07,1.20816e-06
3.866,-1.70499e-07,-5.95904e-06,-3.10037e-06,-1.15046e-05,1.74053e-06,-1.24409e-08,5.10957e-09,7.72074e-07,1.21509e-06
3.886,1.61674e-07,8.40545e-06,-3.36695e-06,-1.19109e-05,-1.39854e-06,-1.29692e-08,5.5398e-09,7.77109e-07,1.2224e-06
3.906,1.57059e-07,8.84886e-06,-3.33184e-06,-1.10602e-05,-1.40172e-06,-1.20542e-08,5.2047e-09,7.82131e-07,1.22936e-06
3.926,1.55431e-07,-6.14927e-06,-3.3774e-06,-1.08843e-05,-1.33766e-06,-1.19261e-08,4.87157e-09,7.87179e-07,1.2365e-06
3.946,-1.96772e-07,-6.04064e-06,-3.11348e-06,-1.13716e-05,-1.60554e-06,-1.23177e-08,5.09229e-09,7.92358e-07,1.24352e-06
